"pointID","scenario","year","mat","map","gsp","mtcm","mmin","mtwm","mmax","sday","ffp","dd5","gsdd5","d100","dd0","smrpb","smrsprpb","mukey","SP_PA","SP_IV","SA_PA","SA_IV","LL_PA","LL_IV","PD_PA","PD_IV","LP_PA","LP_IV","SI","SISP","r_SDI"
1,"CGCM3_A1B",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"CGCM3_A1B",2030,16.7,1268,697,4.4,-1.7,27,32.5,88,231,4401,3873,56,16,1.23,1.58,"811288",0.21,3.16738202532904,0.26,3.10990737564433,0.585,14.6363962794565,0.505,1.22307888543694,0.635,47.2207484704586,74.0514333333333,"PIPA2",0.876853623393802
1,"CGCM3_A1B",2060,18.1,1233,640,6.1,0,28.2,34.2,78,245,4851,4299,39,5,1.22,1.59,"811288",0.265,7.84759382349214,0.41,5.97022797941783,0.395,11.6160814239386,0.41,2.24368651863574,0.64,45.2165261817247,74.4623333333333,"PIPA2",0.883876961776347
1,"CGCM3_A1B",2090,18.5,1325,696,5.6,-0.5,28.9,35,75,251,5006,4532,41,7,1.25,1.65,"811288",0.305,7.24730103594497,0.315,7.13540558083568,0.385,22.0360177800101,0.41,9.17222539884513,0.47,44.7029878972584,75.2808333333333,"PIPA2",0.805410878407034
1,"CGCM3_A2",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"CGCM3_A2",2030,17.2,1198,658,5,-1.1,27.3,33.6,87,233,4557,3965,52,11,1.36,1.71,"811288",0.2,1.39842399315882,0.34,5.16800486777795,0.51,15.5519337562483,0.595,5.116221821808,0.64,42.8268819347017,74.7328666666667,"PIPA2",0.887220476652469
1,"CGCM3_A2",2060,17.7,1286,675,5.5,-0.5,28.5,34.7,81,240,4739,4234,45,8,1.28,1.75,"811288",0.27,6.00738485342625,0.345,5.60216785979929,0.4,14.643287544377,0.4,8.807115941967,0.65,47.6673224917124,75.8663333333333,"PIPA2",0.885993468010623
1,"CGCM3_A2",2090,19.9,1187,659,6.9,0.9,30.1,36.3,60,271,5465,5037,34,1,1.37,2,"811288",0.29,3.98253107885531,0.405,11.7274949584931,0.26,18.3168139346493,0.35,8.77201411896013,0.44,35.4115306074944,74.3862666666666,"PIPA2",0.785073364125115
1,"CGCM3_B1",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"CGCM3_B1",2030,16.8,1183,646,3.7,-2.6,27.1,33.3,88,224,4446,3878,58,21,1.49,2,"811288",0.265,4.12520498225706,0.21,10.6171077362727,0.23,11.2436861599314,0.3,6.81937187318331,0.36,27.7828955187849,74.6896333333333,"PIPA2",0.710029788215277
1,"CGCM3_B1",2060,17.2,1200,667,5.2,-1,27.4,33.2,85,230,4566,4010,43,12,1.18,1.47,"811288",0.265,1.02215723786798,0.39,4.61290730736982,0.53,15.4895472377728,0.61,0.718953592101344,0.675,37.5164605482941,73.8815666666667,"PIPA2",0.909073224466359
1,"CGCM3_B1",2090,17.5,1305,719,6.3,0.1,27.7,33.2,85,230,4647,4062,41,5,1.32,1.41,"811288",0.125,1.54952500512841,0.405,3.05234565034272,0.85,13.0973051927609,0.63,1.55993284768008,0.795,40.1506283372271,72.1024333333333,"PIPA2",0.958381858728326
1,"GFDLCM21_A2",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"GFDLCM21_A2",2030,16.8,1373,780,5.4,-1.1,26.7,32.4,86,230,4418,3867,48,9,1.27,1.56,"811288",0.115,1.19928335143396,0.33,1.72605891916692,0.795,15.4843910072135,0.615,3.704979723678,0.665,37.8711876083266,69.7307666666666,"PIPA2",0.931465185462564
1,"GFDLCM21_A2",2060,17.6,1347,781,5.5,-1,28.2,33.9,81,242,4705,4201,49,7,1.5,1.81,"811288",0.145,5.67744821489994,0.35,10.525424718217,0.42,27.6084839511742,0.5,11.6971706956636,0.59,43.7401165819641,71.7025666666666,"PIPA2",0.852838170771721
1,"GFDLCM21_A2",2090,20.1,1390,770,8.6,2.1,31,37.1,66,261,5534,5031,25,1,1.35,1.75,"811288",0.27,5.07034938319891,0.42,23.9036861136277,0.39,21.5749029758521,0.37,8.93569576555341,0.555,41.6557479268107,74.4754,"PIPA2",0.842882029607005
1,"GFDLCM21_B1",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"GFDLCM21_B1",2030,16.7,1337,728,6.4,0,27.2,33.2,86,228,4345,3776,42,5,1.23,1.57,"811288",0.12,0.919521237961657,0.45,4.13617647897761,0.92,14.0092320512485,0.8,0.521629145601082,0.825,35.2801188746536,69.5965666666666,"PIPA2",0.984160183519301
1,"GFDLCM21_B1",2060,17.2,1363,787,5.4,-0.8,27.4,33.3,86,230,4529,3947,48,8,1.4,1.88,"811288",0.09,4.26918430286959,0.32,9.49473351082485,0.58,23.7279362347494,0.545,8.67069595958358,0.655,40.8146661002912,68.6219666666666,"PIPA2",0.879043355233831
1,"GFDLCM21_B1",2090,17.9,1409,791,5.2,-1.3,27.7,33.7,77,249,4771,4192,41,9,1.43,1.8,"811288",0.18,7.51775640837043,0.34,8.05110841362007,0.495,25.1146617022984,0.475,12.0879905916387,0.6,47.4570166673864,71.7906666666666,"PIPA2",0.859128021281397
1,"HADCM3_A2",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"HADCM3_A2",2030,17.2,1208,608,5.5,-0.9,28.1,34.8,86,228,4554,4021,46,8,1.12,1.36,"811288",0.4,6.72704721492334,0.34,2.82544823594201,0.295,6.46194691737139,0.265,0.0598805403176413,0.625,33.8997690530941,73.8204,"PIPA2",0.877783035919682
1,"HADCM3_A2",2060,18.1,1316,693,5.3,-1.1,29.5,36,79,248,4879,4474,48,10,1.35,1.4,"811288",0.315,7.52665387596411,0.29,3.76574032270021,0.26,13.2635267964574,0.31,6.06977016854419,0.43,46.197172586394,76.3779666666666,"PIPA2",0.769070758145745
1,"HADCM3_A2",2090,20.2,1397,783,6.9,0.3,32,38.6,66,258,5606,5183,35,1,1.6,2.1,"811288",0.285,9.93347098650904,0.385,16.144700130284,0.38,28.7267283601842,0.395,18.1405181787162,0.42,45.3741005050581,75.4071666666666,"PIPA2",0.782798075679564
1,"HADCM3_B2",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
1,"HADCM3_B2",2030,17,1200,663,4.8,-1.6,28.1,34,88,229,4491,3974,49,17,1.15,1.42,"811288",0.335,3.20014224191158,0.21,2.01687867211917,0.335,14.4513461236856,0.305,0.223770931652683,0.48,32.3219443726618,72.8909666666667,"PIPA2",0.79350642536869
1,"HADCM3_B2",2060,17.6,1361,777,7,0.2,28.2,34.3,85,234,4654,4052,38,2,1.48,1.74,"811288",0.135,1.94113647511352,0.405,4.78736598310289,0.61,23.8483630179782,0.58,9.82872725863631,0.715,39.1623224649271,68.5476333333333,"PIPA2",0.912789595556036
1,"HADCM3_B2",2090,18.8,1342,743,5.4,-1.5,29.7,35.8,71,255,5104,4676,42,8,1.42,1.58,"811288",0.275,10.2264643233457,0.35,8.3890157908252,0.365,24.099634812681,0.43,10.0364562066175,0.43,45.2152835500436,75.5727333333333,"PIPA2",0.786789248910461
2,"CGCM3_A1B",1990,15.5,1218,660,4.3,-2.1,25.7,31.7,96,204,3975,3361,59,21,1.24,1.54,"811288",0.16,0.0939749656323976,0.455,5.52258957748387,0.965,36.0198955807406,0.84,0.810360096850946,0.86,35.0170350940563,83.6624,"PIPA2",1
